,dis_id,date,state,type
2421,5f7b2c2331a8c6681cff224c,2011-08-30,TX,Fire
2422,5f7b2c2331a8c6681cff2256,2011-08-30,TX,Fire
2423,5f7b2c2331a8c6681cff225b,2011-08-30,TX,Fire
2424,5f7b2c2331a8c6681cff2261,2011-08-30,TX,Fire
2425,5f7b2c2331a8c6681cff2267,2011-08-30,TX,Fire
2426,5f7b2c2331a8c6681cff2269,2011-08-30,TX,Fire
2427,5f7b2c2331a8c6681cff226d,2011-08-30,TX,Fire
2428,5f7b2c2331a8c6681cff2273,2011-08-30,TX,Fire
2429,5f7b2c2331a8c6681cff2278,2011-08-30,TX,Fire
2430,5f7b2c2331a8c6681cff2288,2011-08-30,TX,Fire
2431,5f7b2c2331a8c6681cff228e,2011-08-30,TX,Fire
2432,5f7b2c2331a8c6681cff229a,2011-08-30,TX,Fire
2433,5f7b2c2331a8c6681cff229c,2011-08-30,TX,Fire
2434,5f7b2c2331a8c6681cff229e,2011-08-30,TX,Fire
2435,5f7b2c0831a8c6681cfd7989,2011-08-30,OK,Fire
2436,5f7b2c0831a8c6681cfd799d,2011-08-31,OK,Fire
2437,5f7b2c0831a8c6681cfd79a0,2011-08-31,OK,Fire
2438,5f7b2c0831a8c6681cfd79b8,2011-09-02,CA,Fire
2439,5f7b2c0831a8c6681cfd79c3,2011-09-03,OK,Fire
2440,5f7b2c0831a8c6681cfd79c9,2011-09-04,TX,Fire
2441,5f7b2c0831a8c6681cfd79cb,2011-09-04,TX,Fire
2442,5f7b2c0831a8c6681cfd79d2,2011-09-04,TX,Fire
2443,5f7b2c0831a8c6681cfd79d9,2011-09-04,TX,Fire
2444,5f7b2c0831a8c6681cfd79e8,2011-09-04,TX,Fire
2445,5f7b2c0831a8c6681cfd79f4,2011-09-04,TX,Fire
2446,5f7b2c0831a8c6681cfd79bb,2011-09-04,CA,Fire
2447,5f7b2c0831a8c6681cfd79bd,2011-09-05,TX,Fire
2448,5f7b2c0831a8c6681cfd79d1,2011-09-05,TX,Fire
2449,5f7b2c0831a8c6681cfd79ea,2011-09-05,TX,Fire
2450,5f7b2c0831a8c6681cfd7a01,2011-09-05,TX,Fire
2451,5f7b2c0831a8c6681cfd7a13,2011-09-05,TX,Fire
2452,5f7b2c0831a8c6681cfd7a0c,2011-09-08,TX,Fire
2453,5f7b2c0831a8c6681cfd79fb,2011-09-08,WA,Fire
2454,5f7b2c0831a8c6681cfd7a1d,2011-09-09,TX,Fire
2455,5f7b2c0831a8c6681cfd7a04,2011-09-10,NV,Fire
2456,5f7b2c0831a8c6681cfd7a2d,2011-09-10,CA,Fire
2457,5f7b2c0831a8c6681cfd7a29,2011-09-10,CA,Fire
2458,5f7b2c0831a8c6681cfd7a34,2011-10-03,NV,Fire
2459,5f7b2c0831a8c6681cfd7a3a,2011-11-18,NV,Fire
2460,5f7b2c0831a8c6681cfd7a4f,2012-01-19,NV,Fire
2461,5f7b2c0831a8c6681cfd7a51,2012-03-26,CO,Fire
2462,5f7b2c0831a8c6681cfd7a31,2012-04-24,TX,Fire
2463,5f7b2c0831a8c6681cfd7a55,2012-05-22,NV,Fire
2464,5f7b2c0831a8c6681cfd7a38,2012-05-23,NM,Fire
2465,5f7b2c0831a8c6681cfd7a61,2012-05-23,NM,Fire
2466,5f7b2c0831a8c6681cfd7a40,2012-06-04,NM,Fire
2467,5f7b2c0831a8c6681cfd7a44,2012-06-09,CO,Fire
2468,5f7b2c2431a8c6681cff28be,2012-06-09,CO,Fire
2469,5f7b2c2431a8c6681cff28c1,2012-06-09,CO,Fire
2470,5f7b2c2431a8c6681cff28c4,2012-06-09,CO,Fire
2471,5f7b2c0831a8c6681cfd7a8b,2012-06-18,NM,Fire
2472,5f7b2c0831a8c6681cfd7a84,2012-06-20,NM,Fire
2473,5f7b2c0831a8c6681cfd7a7c,2012-06-22,UT,Fire
2474,5f7b2c0831a8c6681cfd7a74,2012-06-23,CO,Fire
2475,5f7b2c0831a8c6681cfd7a69,2012-06-23,CO,Fire
2476,5f7b2c0831a8c6681cfd7a88,2012-06-24,UT,Fire
2477,5f7b2c2431a8c6681cff2cd7,2012-06-25,MT,Fire
2478,5f7b2c2431a8c6681cff2cd9,2012-06-25,MT,Fire
2479,5f7b2c2431a8c6681cff2cdd,2012-06-25,MT,Fire
2480,5f7b2c0831a8c6681cfd7a6c,2012-06-25,MT,Fire
2481,5f7b2c0931a8c6681cfd7ab9,2012-06-25,MT,Fire
2482,5f7b2c0931a8c6681cfd7abf,2012-06-25,MT,Fire
2483,5f7b2c0931a8c6681cfd7abb,2012-06-26,MT,Fire
2484,5f7b2c0831a8c6681cfd7a71,2012-06-27,UT,Fire
2485,5f7b2c0931a8c6681cfd7a99,2012-06-29,WY,Fire
2486,5f7b2c0931a8c6681cfd7ab4,2012-06-29,WY,Fire
2487,5f7b2c0931a8c6681cfd7ab7,2012-06-29,WY,Fire
2488,5f7b2c0931a8c6681cfd7a97,2012-06-29,UT,Fire
2489,5f7b2c0931a8c6681cfd7aa8,2012-07-01,WY,Fire
2490,5f7b2c0931a8c6681cfd7ac1,2012-07-01,WY,Fire
2491,5f7b2c0931a8c6681cfd7adb,2012-07-02,UT,Fire
2492,5f7b2c0931a8c6681cfd7aa3,2012-07-19,SD,Fire
2493,5f7b2c0931a8c6681cfd7af0,2012-07-30,OK,Fire
2494,5f7b2c2431a8c6681cff2e03,2012-08-03,OK,Fire
2495,5f7b2c2431a8c6681cff2e05,2012-08-03,OK,Fire
2496,5f7b2c3131a8c6681cfffa96,2012-08-03,OK,Fire
2497,5f7b2c0931a8c6681cfd7aa6,2012-08-03,OK,Fire
2498,5f7b2c0931a8c6681cfd7abd,2012-08-03,OK,Fire
2499,5f7b2c3131a8c6681cfffa74,2012-08-03,OK,Fire
2500,5f7b2c3131a8c6681cfffa6c,2012-08-04,OK,Fire
2501,5f7b2c3131a8c6681cfffa83,2012-08-04,OK,Fire
2502,5f7b2c3131a8c6681cfffa86,2012-08-04,OK,Fire
2503,5f7b2c3131a8c6681cfffa7c,2012-08-12,CA,Fire
2504,5f7b2c3131a8c6681cfffa8d,2012-08-13,WA,Fire
2505,5f7b2c3131a8c6681cfffab1,2012-08-15,ID,Fire
2506,5f7b2c3131a8c6681cfffa97,2012-08-18,CA,Fire
2507,5f7b2c3131a8c6681cfffa9e,2012-08-18,CA,Fire
2508,5f7b2c3131a8c6681cfffaa2,2012-08-28,MT,Fire
2509,5f7b2c3131a8c6681cfffaaa,2012-08-30,NE,Fire
2510,5f7b2c3131a8c6681cfffaad,2012-08-30,NE,Fire
2511,5f7b2c3131a8c6681cfffab4,2012-08-30,NE,Fire
2512,5f7b2c3131a8c6681cfffaba,2012-08-31,SD,Fire
2513,5f7b2c3131a8c6681cfffac5,2012-09-05,WA,Fire
2514,5f7b2c3131a8c6681cfffabe,2012-09-09,WA,Fire
2515,5f7b2c3131a8c6681cfffb01,2012-09-09,WY,Fire
2516,5f7b2c3131a8c6681cfffac8,2012-09-09,WA,Fire
2517,5f7b2c3131a8c6681cfffad0,2012-09-09,WA,Fire
2518,5f7b2c3131a8c6681cfffadb,2012-09-10,WA,Fire
2519,5f7b2c3131a8c6681cfffad4,2012-09-10,MT,Fire
2520,5f7b2c3131a8c6681cfffaf5,2012-09-12,WA,Fire
2521,5f7b2c3131a8c6681cfffae4,2012-09-12,WA,Fire
2522,5f7b2c3131a8c6681cfffae7,2012-09-18,ID,Fire
2523,5f7b2c3131a8c6681cfffaee,2012-09-19,WA,Fire
2524,5f7b2c3131a8c6681cfffb12,2012-09-19,WA,Fire
